ID,Aminobenzoate degradation,Amino sugar and nucleotide sugar metabolism,Neuroactive ligand-receptor interaction,Purine metabolism,Porphyrin and chlorophyll metabolism,Isoquinoline alkaloid biosynthesis,Bile secretion,ABC transporters,Benzoate degradation,Tryptophan metabolism,Starch and sucrose metabolism,Pyrimidine metabolism,Dioxin degradation,Fatty acid metabolism,Chlorocyclohexane and chlorobenzene degradation,Glucosinolate biosynthesis,Tyrosine metabolism,Phenylalanine metabolism,Methane metabolism,Biosynthesis of unsaturated fatty acids,Metabolic pathways,Arginine and proline metabolism,Fatty acid biosynthesis,Toluene degradation,Lysine degradation,Nitrogen metabolism,"Valine, leucine and isoleucine degradation",Pentose and glucuronate interconversions,Indole alkaloid biosynthesis,Fructose and mannose metabolism,Glyoxylate and dicarboxylate metabolism,Phosphotransferase system (PTS),Serotonergic synapse,Fatty acid elongation,Aminoacyl-tRNA biosynthesis,Ubiquinone and other terpenoid-quinone biosynthesis,Inositol phosphate metabolism,Cysteine and methionine metabolism,Carbohydrate digestion and absorption,Glycerophospholipid metabolism,"Tropane, piperidine and pyridine alkaloid biosynthesis",Protein digestion and absorption,Biosynthesis of secondary metabolites,Galactose metabolism,Propanoate metabolism,"Cutin, suberine and wax biosynthesis","Glycine, serine and threonine metabolism",Biotin metabolism,Novobiocin biosynthesis,Nicotinate and nicotinamide metabolism,Sphingolipid metabolism,Cyanoamino acid metabolism,Atrazine degradation,Terpenoid backbone biosynthesis,Pyruvate metabolism,Primary bile acid biosynthesis,Two-component system,Butanoate metabolism,Phenylpropanoid biosynthesis,Pentose phosphate pathway,Ascorbate and aldarate metabolism,Selenocompound metabolism,Phosphonate and phosphinate metabolism,Glycolysis / Gluconeogenesis,Glutathione metabolism,Xylene degradation,Caffeine metabolism,Pantothenate and CoA biosynthesis,Lysine biosynthesis,Betalain biosynthesis,Phosphatidylinositol signaling system,Carbon fixation pathways in prokaryotes,Mineral absorption,Microbial metabolism in diverse environments,Steroid hormone biosynthesis,Chloroalkane and chloroalkene degradation,"Phenylalanine, tyrosine and tryptophan biosynthesis","Valine, leucine and isoleucine biosynthesis",Thiamine metabolism,beta-Alanine metabolism,Sulfur metabolism,"Alanine, aspartate and glutamate metabolism",Styrene degradation,Carbon fixation in photosynthetic organisms,Histidine metabolism,Linoleic acid metabolism,2-Oxocarboxylic acid metabolism,Glycerolipid metabolism,Peptidoglycan biosynthesis,C5-Branched dibasic acid metabolism,Dopaminergic synapse,Taurine and hypotaurine metabolism,Vitamin B6 metabolism,Citrate cycle (TCA cycle),Synaptic vesicle cycle,Sulfur relay system,Oxidative phosphorylation,Steroid biosynthesis,HIF-1 signaling pathway,Biosynthesis of alkaloids derived from shikimate pathway,Epithelial cell signaling in Helicobacter pylori infection,Insulin secretion,Gap junction,Proximal tubule bicarbonate reclamation,Puromycin biosynthesis,Vitamin digestion and absorption,"Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid",GABAergic synapse,D-Glutamine and D-glutamate metabolism,Bacterial chemotaxis,Biosynthesis of alkaloids derived from histidine and purine,Glutamatergic synapse,Taste transduction,D-Arginine and D-ornithine metabolism,D-Alanine metabolism,Biosynthesis of phenylpropanoids,Circadian entrainment,Type II diabetes mellitus,Melanogenesis,Pathways in cancer,Biosynthesis of alkaloids derived from terpenoid and polyketide,Steroid degradation,Biosynthesis of terpenoids and steroids,Lysosome,Insulin signaling pathway,Clavulanic acid biosynthesis,Long-term potentiation,Degradation of aromatic compounds,Riboflavin metabolism,Fat digestion and absorption
G30,7896,7687.25,7552,6118,6365.333333,6975,6154.166667,5656.2,4488,4720,4781.25,4829,3944,4000,5095.5,4425,4484,4092,3600,3803.142857,3869,3814.615385,3155.6,2955,2838.8,2703,2837.2,2823.333333,2632,3048,2953.166667,2679.5,2478,2412,2569.105263,2880,2688,2385.857143,2358,2315.333333,2516,2300.761905,2380,2241.333333,2412,2250,2167.5,2016,2109,2068,1950,2110.25,1806,1764,1856,2068,2160,2013.333333,2108.333333,1768.8,2246.6,1836,1575,1746.333333,1717.6,1554,1617,1691.2,1828.8,1800,1728,2227.714286,1569.866667,1517,2178,1540,1556.333333,1462.142857,1404,1384.666667,1116,1149.6,1032,958.3333333,1166,832,963,836,1755,981.3333333,900,880,976,1016.666667,772,680,896,990,705,725,602,617.5,698.5,691.3333333,648,760,570,479.25,488,442,479,412,403,355,330,412,341,285,324,340,327,352,305,208,212,280,217,197,667,264
G36,8064,7420.5,6963.2,6639.333333,5456,6696,6445.833333,5484.6,4554,4640,4628.25,4851,4002,3800,4819,4250,4195.2,3900,3560,3618,3870,3842.307692,3145.8,2790,2923.4,2650,2714.2,3135,2303,3012,2846.833333,2518.5,2436,2340,2513.315789,3040,2310,2483.571429,2160,2468.666667,2091,2269.428571,2356,2040.888889,2250,2142,2182.8,2114,2331,2068,1937.5,1960.75,1932,1764,1856,2185.5,1948.571429,1866.666667,1943.333333,1669.8,2171.4,1863,2250,1612,1618.8,1554,1680,1741.6,1893.6,1728,1485,1997.714286,1482.866667,1495,2871,1640,1498.333333,1396.428571,1404,1322.666667,1107,1111.2,960,996.6666667,1166,468,941,594,1458,864,864,825,1040,966.6666667,672,690,768,1305,671.25,701,644,533,572,623.3333333,672,931,529,436.5,440,454,481,348,208,405,333,389,176,246,336,350,319,464,290,228,160,300,112,186,851,348
G46,7896,7517.5,7577.6,6578,6654.666667,6556.5,5600,5553.9,4422,4640,4526.25,4609,3886,3925,5135,4200,4286.4,3972,3520,3741.428571,3901,4153.846154,3194.8,2925,2914,2824.142857,2673.2,2887.5,2068,3468,2842,2719.75,2436,2304,2535.631579,2920,2310,2434.714286,2124,2499.333333,2125,2273.904762,2316,2195.777778,2220,2151,2320.5,2156,2109,2091.5,1987.5,1960.75,2037,1680,1824,2068,2005.714286,2026.666667,1925,1597.2,2039.8,1809,2160,1488,1793.6,1480,1680,1685.6,1785.6,1692,1485,1780.857143,1480.933333,1494,2475,1660,1488.666667,1386.571429,1352,1224.5,1152,1161.6,1008,958.3333333,1276,858,919,715,1863,992,846,880,816,886.6666667,772,670,906.6666667,1125,581.25,670,679,455,715,702.6666667,636,855,527,483.75,496,454,451,452,546,380,321,367,462,210,318,350,291,400,266,280,120,270,294,195,598,300
G49,8484,6911.25,7142.4,6869.333333,5786.666667,6603,5920.833333,5355.9,4818,4800,4220.25,4565,4234,4000,4582,4183.333333,4316.8,4128,3620,3918.857143,3813,3870,3224.2,2970,2848.2,2680.285714,2648.6,2640,2091.5,2784,2846.833333,2363.25,2520,2340,2443.578947,3000,2394,2377.714286,1845,2376.666667,2176,2222.428571,2303,2132,2292,2241,2187.9,2212,2146,2091.5,1937.5,1914.75,2016,1890,1888,2044.5,1994.285714,1866.666667,2200,1689.6,2058.6,1809,1845,1519,1717.6,1665,1722,1747.2,1728,1704,1539,1938.571429,1448.066667,1518,2277,1580,1556.333333,1386.571429,1421.333333,1281.333333,1107,1060.8,1008,966,957,1014,918,869,1782,800,852,781,848,970,692,670,869.3333333,1035,581.25,708,672,481,599.5,578,660,817,528,423,408,406,474,376,286,365,336,397,242,222,330,340,314,368,291,204,116,260,154,198,299,276
G51,8232,7929.75,6681.6,6961.333333,5538.666667,6463.5,6562.5,5563.8,4785,4960,4768.5,4741,4205,3825,5016.5,4441.666667,4316.8,4140,3820,3571.714286,3805,3710.769231,2959.6,2940,2951.6,2574.285714,2804.4,2502.5,2843.5,3552,2803.333333,3024.5,2604,2268,2527.263158,2760,2184,2467.285714,2430,2254,2584,2271.666667,2347,2241.333333,2340,2070,2223.6,2184,2257,2115,1962.5,2018.25,1932,1974,1936,2068,1965.714286,1766.666667,2126.666667,1795.2,1983.4,1917,1710,1860,1482,1739,1743,1747.2,1670.4,1668,1404,1958.285714,1540.866667,1506,2178,1580,1585.333333,1475.285714,1447.333333,1281.333333,1125,1036.8,1008,1004.333333,715,546,934,605,864,608,834,704,784,953.3333333,636,710,693.3333333,990,682.5,705,644,689,511.5,470.3333333,648,703,529,384.75,332,424,472,324,104,350,354,396,88,318,324,320,308,352,286,268,236,190,56,196,368,264
G53,8232,7832.75,6374.4,6869.333333,5125.333333,6091.5,5833.333333,5329.5,4488,4640,4653.75,4763,3944,3975,4463.5,4141.666667,3982.4,3900,3300,3849.428571,3745,3433.846154,3116.4,2865,2801.2,2491,2648.6,2594.166667,2538,3324,2629.333333,2834.75,2436,2340,2320.842105,2840,2478,2206.714286,2349,2223.333333,2125,2092.619048,2220,2296,2268,2142,2004.3,2254,2016.5,1950.5,1925,1874.5,2079,1596,1792,1950.5,2091.428571,1660,1980,1702.8,1936.4,1728,1440,1674,1482,1406,1764,1674.4,1670.4,1572,1593,1833.428571,1475.133333,1467,2178,1500,1488.666667,1366.857143,1308.666667,1229.666667,1071,996,972,889.3333333,671,962,880,737,1890,522.6666667,786,621.5,656,893.3333333,592,640,869.3333333,990,618.75,670,693,572,478.5,476,624,779,479,382.5,336,424,444,324,104,320,306,370,88,264,312,290,290,352,268,288,200,170,56,191,230,264
G55,7056,7832.75,6860.8,6133.333333,6034.666667,6417,5745.833333,5738.7,4752,4400,4857.75,4664,4176,3275,5688,4383.333333,4924.8,4392,3960,3078,3747,3960,2361.8,3150,2782.4,2672.714286,2870,2612.5,2796.5,3432,2842,3179.75,2310,1440,2482.631579,3000,1512,2451,2421,2392,2516,2244.809524,2308,2346.111111,2418,1926,2223.6,2114,2072,2173.75,1862.5,1989.5,1932,2520,2128,2068,2182.857143,2106.666667,2035,1834.8,2021,1836,1890,2035.666667,1725.2,2220,1701,1775.2,1605.6,1656,972,1991.142857,1566,1414,2277,1680,1459.666667,1550.857143,1508,1229.666667,1116,1152,1068,1004.333333,726,52,904,869,1404,896,828,836,1040,973.3333333,692,680,949.3333333,1035,757.5,685,644,806,594,538.3333333,588,931,543,461.25,380,412,468,360,247,405,384,394,209,372,294,390,315,368,292,232,256,270,133,210,161,276
G56,8232,7008.25,8115.2,6210,7440,5998.5,6562.5,5352.6,4521,4800,4424.25,4169,3973,4175,5806.5,4200,4620.8,4392,3520,4119.428571,3816,4029.230769,3694.6,3510,2961,2513.714286,2665,2539.166667,2373.5,2220,2711.5,2139,2520,2664,2471.473684,2640,2436,2467.285714,2169,2913.333333,2278,2209,2363,1981.666667,2292,2340,2259.3,2310,2201.5,2514.5,1975,1926.25,2184,1638,1712,2021,1988.571429,2420,1906.666667,1636.8,2256,1890,1530,1529.333333,1922.8,1443,1722,1792,1951.2,1548,1566,1938.571429,1390.066667,1540,2178,1920,1479,1399.714286,1326,1296.833333,1107,1185.6,1248,1081,1650,1092,936,1221,1485,1280,774,1045,1056,973.3333333,788,700,1018.666667,990,656.25,694,728,520,731.5,561,600,722,594,447.75,396,458,476,288,702,410,327,395,594,240,300,580,314,352,292,228,164,290,378,234,184,264
G57,7812,7857,7142.4,6210,6200,6231,6037.5,5494.5,4191,4160,4896,4697,3683,4150,5214,4075,4149.6,3840,3080,3749.142857,3828,3745.384615,3077.2,2970,2923.4,2627.285714,2624,3025,2491,3132,2851.666667,2685.25,2184,2520,2412.894737,2680,2772,2239.285714,2367,2392,2176,2175.428571,2340,2218.555556,2358,2205,2050.2,2030,2072,1950.5,1887.5,1799.75,1890,1428,1728,1927,2125.714286,2040,1686.666667,1663.2,2246.6,1512,2070,1674,1580.8,1258,1722,1640.8,1814.4,1608,1782,2096.285714,1479,1473,2376,1460,1353.333333,1360.285714,1187.333333,1240,1089,1132.8,1008,797.3333333,1265,910,908,649,1593,992,804,819.5,976,1010,716,560,874.6666667,1080,708.75,696,630,572,665.5,742.3333333,540,874,543,508.5,524,444,489,416,416,330,270,398,352,264,270,340,327,384,303,228,216,250,224,198,690,288
G58,7980,7590.25,7603.2,6240.666667,6613.333333,6463.5,6475,5639.7,4323,4720,4832.25,4818,3799,4100,5095.5,4125,4256,3960,3240,3895.714286,3871,3814.615385,3302.6,3000,2848.2,2710.571429,2607.6,3272.5,2538,3204,2793.666667,2702.5,2478,2628,2471.473684,2960,2940,2288.142857,2358,2407.333333,2040,2224.666667,2326,2236.777778,2412,2331,2045.1,1946,2183,1950.5,1837.5,1857.25,1764,1512,1760,2068,2137.142857,2153.333333,1888.333333,1669.8,2434.6,1701,2115,1643,1786,1332,1659,1674.4,1900.8,1668,1890,1978,1488.666667,1480,2574,1500,1479,1337.285714,1291.333333,1358.833333,1098,1188,1020,874,1485,962,909,726,1836,1216,834,973.5,1104,903.3333333,780,630,922.6666667,1170,720,678,588,552.5,731.5,850,612,931,526,549,600,444,450,468,585,375,297,373,495,255,306,370,297,416,271,192,196,250,315,200,943,312
