ID,Aminobenzoate degradation,Amino sugar and nucleotide sugar metabolism,Neuroactive ligand-receptor interaction,Purine metabolism,Porphyrin and chlorophyll metabolism,Isoquinoline alkaloid biosynthesis,Bile secretion,ABC transporters,Benzoate degradation,Tryptophan metabolism,Starch and sucrose metabolism,Pyrimidine metabolism,Dioxin degradation,Fatty acid metabolism,Chlorocyclohexane and chlorobenzene degradation,Glucosinolate biosynthesis,Tyrosine metabolism,Phenylalanine metabolism,Methane metabolism,Biosynthesis of unsaturated fatty acids,Metabolic pathways,Arginine and proline metabolism,Fatty acid biosynthesis,Toluene degradation,Lysine degradation,Nitrogen metabolism,"Valine, leucine and isoleucine degradation",Pentose and glucuronate interconversions,Indole alkaloid biosynthesis,Fructose and mannose metabolism,Glyoxylate and dicarboxylate metabolism,Phosphotransferase system (PTS),Serotonergic synapse,Fatty acid elongation,Aminoacyl-tRNA biosynthesis,Ubiquinone and other terpenoid-quinone biosynthesis,Inositol phosphate metabolism,Cysteine and methionine metabolism,Carbohydrate digestion and absorption,Glycerophospholipid metabolism,"Tropane, piperidine and pyridine alkaloid biosynthesis",Protein digestion and absorption,Biosynthesis of secondary metabolites,Galactose metabolism,Propanoate metabolism,"Cutin, suberine and wax biosynthesis","Glycine, serine and threonine metabolism",Biotin metabolism,Novobiocin biosynthesis,Nicotinate and nicotinamide metabolism,Sphingolipid metabolism,Cyanoamino acid metabolism,Atrazine degradation,Terpenoid backbone biosynthesis,Pyruvate metabolism,Primary bile acid biosynthesis,Two-component system,Butanoate metabolism,Phenylpropanoid biosynthesis,Pentose phosphate pathway,Ascorbate and aldarate metabolism,Selenocompound metabolism,Phosphonate and phosphinate metabolism,Glycolysis / Gluconeogenesis,Glutathione metabolism,Xylene degradation,Caffeine metabolism,Pantothenate and CoA biosynthesis,Lysine biosynthesis,Betalain biosynthesis,Phosphatidylinositol signaling system,Carbon fixation pathways in prokaryotes,Mineral absorption,Microbial metabolism in diverse environments,Steroid hormone biosynthesis,Chloroalkane and chloroalkene degradation,"Phenylalanine, tyrosine and tryptophan biosynthesis","Valine, leucine and isoleucine biosynthesis",Thiamine metabolism,beta-Alanine metabolism,Sulfur metabolism,"Alanine, aspartate and glutamate metabolism",Styrene degradation,Carbon fixation in photosynthetic organisms,Histidine metabolism,Linoleic acid metabolism,2-Oxocarboxylic acid metabolism,Glycerolipid metabolism,Peptidoglycan biosynthesis,C5-Branched dibasic acid metabolism,Dopaminergic synapse,Taurine and hypotaurine metabolism,Vitamin B6 metabolism,Citrate cycle (TCA cycle),Synaptic vesicle cycle,Sulfur relay system,Oxidative phosphorylation,Steroid biosynthesis,HIF-1 signaling pathway,Biosynthesis of alkaloids derived from shikimate pathway,Epithelial cell signaling in Helicobacter pylori infection,Insulin secretion,Gap junction,Proximal tubule bicarbonate reclamation,Puromycin biosynthesis,Vitamin digestion and absorption,"Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid",GABAergic synapse,D-Glutamine and D-glutamate metabolism,Bacterial chemotaxis,Biosynthesis of alkaloids derived from histidine and purine,Glutamatergic synapse,Taste transduction,D-Arginine and D-ornithine metabolism,D-Alanine metabolism,Biosynthesis of phenylpropanoids,Circadian entrainment,Type II diabetes mellitus,Melanogenesis,Pathways in cancer,Biosynthesis of alkaloids derived from terpenoid and polyketide,Steroid degradation,Biosynthesis of terpenoids and steroids,Lysosome,Insulin signaling pathway,Clavulanic acid biosynthesis,Long-term potentiation,Degradation of aromatic compounds,Riboflavin metabolism,Fat digestion and absorption
N2,7980,7832.75,7219.2,6424.666667,6076,6742.5,6008.333333,5415.3,4356,4720,4730.25,4598,3828,3750,5174.5,4183.333333,4468.8,4068,3440,3872.571429,3775,3551.538462,3273.2,3105,2726,2581.857143,2697.8,2585,2702.5,3120,2904.833333,2725.5,2478,2448,2410.105263,2680,1890,2312.571429,2241,2330.666667,2159,2188.857143,2270,2159.333333,2370,2187,2126.7,2086,2090.5,1868.25,1962.5,1811.25,1827,1554,1776,1809.5,2182.857143,1953.333333,1906.666667,1722.6,1786,1890,1755,1725.666667,1717.6,1369,1638,1624,1656,1740,1215,1938.571429,1475.133333,1483,1584,1580,1488.666667,1376.714286,1326,1224.5,1170,1087.2,984,866.3333333,990,910,906,748,1755,778.6666667,870,786.5,640,966.6666667,736,700,944,720,637.5,698,609,604.5,676.5,612,660,532,524,477,432,414,473,420,429,340,321,389,363,279,330,240,306,256,290,264,224,180,231,207,460,192
N3,8148,7905.5,7142.4,6670,6076,6696,6154.166667,5603.4,4818,5120,4730.25,4532,4234,4000,4937.5,4500,4362.4,4080,3460,3556.285714,3826,3731.538462,2910.6,2865,2914,2854.428571,2870,2795.833333,2726,3168,2861.333333,2857.75,2688,2160,2566.315789,2840,1680,2508,2322,2422.666667,2227,2316.428571,2315,2250.444444,2256,2034,2050.2,2114,2164.5,1938.75,1962.5,2024,1932,2058,1952,1927,2062.857143,1793.333333,2053.333333,1597.2,1889.4,1890,1935,1798,1732.8,1813,1680,1758.4,1634.4,1728,1080,1899.142857,1569.866667,1458,1881,1900,1585.333333,1495,1447.333333,1240,1089,1104,960,1012,957,546,955,638,1647,842.6666667,864,819.5,816,933.3333333,720,700,826.6666667,855,660,701,644,656.5,643.5,578,660,665,525,425.25,408,428,469,400,364,365,357,389,308,303,330,260,299,304,280,268,208,220,196,191,552,228
N5,8736,7590.25,6553.6,6624,5373.333333,6324,5833.333333,5464.8,4653,4720,4551.75,4642,4089,4425,4700.5,4258.333333,4058.4,3948,3200,3872.571429,3771,3503.076923,3165.4,2970,2942.2,2559.142857,2730.6,2300.833333,2538,3468,2643.833333,2898,2478,2448,2435.210526,2960,1470,2337,2313,2361.333333,2091,2193.333333,2245,2209.444444,2268,2178,2050.2,2072,2146,1974,1912.5,1909,1806,1554,1760,1974,2080,1700,1796.666667,1643.4,1654.4,1809,1935,1643,1535.2,1369,1722,1668.8,1677.6,1632,945,1826.857143,1513.8,1456,2277,1660,1479,1399.714286,1308.666667,1245.166667,1098,1010.4,960,904.6666667,825,1014,898,539,1863,544,816,649,608,876.6666667,628,670,869.3333333,1035,600,673,602,559,528,487.3333333,636,836,482,389.25,344,426,450,340,169,345,312,363,143,258,318,300,286,368,263,284,196,190,91,198,253,276
N6,7980,7153.75,7219.2,6762,6117.333333,7068,6095.833333,5557.2,4653,5040,4322.25,4565,4089,3750,4503,4291.666667,4514.4,4164,4040,3772.285714,3811,3870,3087,2910,2942.2,2710.571429,2624,2502.5,2162,3552,2822.666667,2742.75,2646,2304,2571.894737,2600,1974,2524.285714,2043,2392,2295,2305.238095,2332,2086.444444,2226,2223,2335.8,2114,2238.5,2138.5,2062.5,2018.25,1869,1932,1920,2044.5,1977.142857,1800,2365,1683,2002.2,1917,1845,1539.666667,1618.8,1702,1659,1752.8,1692,1824,1269,1892.571429,1525.4,1503,1881,1300,1643.333333,1419.428571,1473.333333,1327.833333,1170,1053.6,1020,1027.333333,902,702,925,748,1566,672,912,737,784,956.6666667,712,710,837.3333333,855,570,720,623,487.5,605,510,672,532,528,400.5,360,420,475,348,182,375,351,401,154,225,336,300,306,304,287,236,116,230,98,194,161,228
N8,7980,7881.25,6604.8,6777.333333,5125.333333,6556.5,6066.666667,5537.4,4653,4560,4666.5,4620,4089,4350,4779.5,4133.333333,4377.6,4092,3960,3664.285714,3741,3641.538462,3018.4,2940,2998.6,2400.142857,2607.6,2401.666667,2585,3648,2721.166667,3001.5,2394,2304,2357.105263,2840,1722,2442.857143,2340,2146.666667,2023,2130.666667,2225,2259.555556,2322,2070,2320.5,2058,2201.5,2150.25,2000,1880.25,1848,1932,1920,1527.5,2091.428571,1780,2053.333333,1834.8,1870.6,1782,1395,1787.666667,1512.4,1702,1722,1719.2,1663.2,1692,1107,1879.428571,1492.533333,1464,198,1540,1508,1376.714286,1412.666667,1291.666667,1161,1044,1008,981.3333333,715,728,867,803,1836,586.6666667,846,665.5,784,903.3333333,624,660,901.3333333,90,660,679,616,643.5,511.5,430.6666667,648,361,475,375.75,304,428,455,292,78,315,336,373,66,297,324,120,273,32,271,284,212,190,42,196,161,24
N12,8568,8002.5,6528,6777.333333,5249.333333,6463.5,6883.333333,5501.1,4587,4480,4832.25,4719,4031,4200,4779.5,4091.666667,4240.8,4032,3580,3502.285714,3751,3510,2714.6,3075,3036.2,2422.857143,2501,2447.5,2914,3720,2697,3116.5,2352,2052,2332,2800,2142,2337,2448,2300,1972,2108.285714,2259,2387.111111,2208,2016,2050.2,2254,2072,1950.5,1887.5,1771,2079,1554,1776,2162,2102.857143,1740,2090,1861.2,1842.4,1755,1980,1849.666667,1512.4,1369,1764,1596,1620,1668,1377,1840,1484.8,1478,2574,1620,1450,1294.571429,1352,1265.833333,1125,998.4,1044,828,649,416,853,693,1566,512,834,621.5,624,896.6666667,644,650,858.6666667,1170,678.75,674,693,682.5,522.5,459,636,817,465,384.75,324,412,450,316,117,325,306,366,99,315,318,390,295,416,269,284,272,220,63,205,529,312
N16,8064,6377.75,6707.2,6332.666667,5662.666667,6928.5,4579.166667,5517.6,4488,5120,4322.25,4741,3944,3675,5095.5,4283.333333,4377.6,4020,3640,3648.857143,3741,3890.769231,2940,2925,2801.2,2453.142857,2681.4,2878.333333,2091.5,3084,2610,2512.75,2688,2232,2454.736842,2840,2394,2312.571429,2097,2116,2040,2206.761905,2221,2004.444444,2208,2079,2346,2282,2220,1880,1962.5,1845.75,2163,1680,1808,1950.5,1885.714286,1740,2071.666667,1564.2,1983.4,1917,990,1426,1664.4,1480,1575,1618.4,1627.2,1788,1539,1531.142857,1479,1418,1683,1820,1585.333333,1399.714286,1395.333333,1178,1134,1022.4,984,881.6666667,715,780,857,847,1647,586.6666667,894,693,688,773.3333333,688,710,853.3333333,765,528.75,656,721,422.5,583,493,660,627,446,398.25,348,406,416,336,156,390,333,341,132,195,330,260,249,272,232,148,100,240,84,195,736,204
N17,8316,7517.5,6656,6685.333333,5621.333333,7021.5,5891.666667,5583.6,4554,4640,4590,4752,4002,3725,4937.5,4200,4423.2,4092,3680,3641.142857,3774,3530.769231,2949.8,3000,2914,2468.285714,2591.2,2438.333333,2373.5,3504,2643.833333,2932.5,2436,2232,2451.947368,2880,2478,2361.428571,2340,2361.333333,2210,2211.238095,2268,2268.666667,2178,2151,2213.4,2170,2275.5,1903.5,1937.5,1840,1932,1638,1792,2021,1931.428571,1733.333333,2016.666667,1755.6,2011.6,1890,1845,1601.666667,1573.2,1443,1785,1612.8,1612.8,1812,1593,1669.142857,1490.6,1471,2079,1720,1546.666667,1366.857143,1386.666667,1203.833333,1134,1020,1008,866.3333333,660,650,852,759,1404,544,906,665.5,656,816.6666667,680,700,816,945,588.75,670,644,533,577.5,476,672,703,465,391.5,336,414,434,328,130,380,327,349,110,246,336,320,266,336,245,256,172,260,70,200,345,252
N19,8316,8439,6988.8,6409.333333,5414.666667,6649.5,6737.5,5732.1,4719,4400,4972.5,4466,4147,4225,4700.5,4450,4316.8,4008,3460,3810.857143,3752,3613.846154,3214.4,2940,2876.4,2566.714286,2911,2777.5,2961,3516,2382.833333,3024.5,2310,2340,2532.842105,2600,1680,2483.571429,2475,2039.333333,2635,2260.47619,2249,2314.222222,2160,2151,2106.3,2044,2053.5,2173.75,1862.5,2162,1806,1848,1888,1856.5,2268.571429,1773.333333,2071.666667,1848,1870.6,1809,1395,1953,1611.2,1628,1701,1724.8,1720.8,1716,1080,1531.142857,1612.4,1380,1584,1260,1440.333333,1498.285714,1386.666667,1333,1107,1046.4,960,1035,935,936,887,715,1971,618.6666667,858,687.5,752,760,656,670,906.6666667,720,720,632,602,747.5,555.5,464.6666667,636,532,491,389.25,328,454,412,316,143,365,333,324,121,345,318,220,244,256,228,288,284,230,77,196,322,192
N21,8652,7614.5,6912,6332.666667,5745.333333,6649.5,5541.666667,5652.9,4950,4800,4590,4422,4350,4050,4661,4300,4377.6,4176,3900,3826.285714,3749,3565.384615,3204.6,3015,2923.4,2657.571429,2722.4,2676.666667,2397,3564,2571.333333,3007.25,2520,2340,2499.368421,2800,1638,2467.285714,2304,2300,2278,2244.809524,2228,2268.666667,2220,2169,2208.3,1974,2072,2115,2050,2047,1680,1974,1936,1997.5,2045.714286,1833.333333,2181.666667,1716,1880,1809,1575,1684.333333,1634,1739,1764,1713.6,1670.4,1716,1053,1504.857143,1538.933333,1398,1683,1580,1546.666667,1429.285714,1464.666667,1240,1170,1060.8,1008,973.6666667,858,884,863,792,1863,714.6666667,858,737,832,760,688,670,890.6666667,765,630,651,560,578.5,572,521.3333333,648,627,463,405,368,430,416,348,195,365,342,334,165,267,324,270,245,272,228,292,168,230,105,201,69,204
N23,8484,7784.25,6604.8,6838.666667,5621.333333,6556.5,6358.333333,5679.3,4521,4880,4692,4675,3973,3775,4621.5,4350,4195.2,4032,3420,3679.714286,3782,3724.615385,3008.6,3000,2791.8,2453.142857,2755.2,2355.833333,2655.5,3648,2639,2972.75,2562,2160,2432.421053,2800,2478,2239.285714,2376,2192.666667,2414,2193.333333,2265,2323.333333,2166,2124,2070.6,2240,2016.5,1868.25,1987.5,2024,2142,1512,1744,1997.5,2062.857143,1713.333333,2310,1669.8,1927,1674,1395,1663.666667,1740.4,1332,1701,1579.2,1569.6,1692,1593,1800.571429,1550.533333,1454,1782,1440,1556.333333,1409.571429,1352,1250.333333,1125,964.8,984,789.6666667,649,728,893,649,1917,522.6666667,846,610.5,592,890,668,620,906.6666667,810,607.5,685,714,572,550,464.6666667,636,665,500,387,328,414,444,324,156,370,294,375,132,264,318,270,285,288,267,288,208,240,84,200,345,216
N24,8232,8026.75,6502.4,6547.333333,5580,6370.5,6154.166667,5646.3,4818,4720,4755.75,4466,4234,3800,4977,4425,4271.2,4068,3800,3517.714286,3791,3696.923077,2900.8,2910,2820,2491,2861.8,2603.333333,2655.5,3144,2817.833333,2921,2478,1980,2479.842105,2640,2058,2402.142857,2421,2208,2533,2226.904762,2320,2323.333333,2172,2034,2142,2044,2127.5,2032.75,1975,2001,1890,2016,1952,1833,2074.285714,1826.666667,2053.333333,1841.4,2039.8,1701,1530,1818.666667,1626.4,1776,1701,1696.8,1612.8,1644,1323,1866.285714,1577.6,1466,1683,1620,1508,1501.571429,1378,1167.666667,1170,1029.6,984,904.6666667,759,494,923,748,1863,725.3333333,822,720.5,864,943.3333333,648,630,880,765,682.5,694,630,663,555.5,515.6666667,600,627,531,402.75,364,420,464,340,182,390,333,389,154,306,300,250,300,272,283,288,216,270,98,194,299,204
N25,8736,7493.25,6835.2,6562.666667,5745.333333,6603,5454.166667,5685.9,5082,5200,4551.75,4576,4466,4125,4819,4558.333333,4392.8,4236,3800,3594.857143,3804,3773.076923,2979.2,3015,3102,2680.285714,2853.6,2410.833333,2397,3696,2784,2984.25,2730,2052,2594.210526,2760,2226,2491.714286,2106,2100.666667,2686,2314.190476,2339,2282.333333,2214,2016,2167.5,2184,2109,2103.25,1900,2098.75,1932,2100,1984,2091.5,1994.285714,1840,2181.666667,1722.6,1992.8,1863,1305,1663.666667,1459.2,1850,1722,1724.8,1699.2,1704,1431,1886,1577.6,1476,2178,1520,1614.333333,1491.714286,1482,1255.5,1107,1068,984,1004.333333,847,650,954,781,1836,746.6666667,852,764.5,864,933.3333333,684,690,880,990,618.75,710,644,565.5,572,521.3333333,648,703,546,407.25,368,438,465,352,208,400,357,393,176,261,324,300,302,352,280,292,148,280,112,201,23,264
N30,8484,7299.25,6937.6,6378.666667,5704,6789,6008.333333,5633.1,4884,5040,4692,4488,4292,3950,4779.5,4241.666667,4377.6,4116,3500,3787.714286,3732,3842.307692,3263.4,2940,2744.8,2597,2615.8,2511.666667,2655.5,3432,2561.666667,2990,2646,2484,2451.947368,3040,1596,2483.571429,2331,2284.666667,1904,2222.428571,2267,2177.555556,2208,2196,2096.1,1988,2238.5,2091.5,1912.5,1863,1806,1974,1936,2091.5,2022.857143,1820,2200,1716,1861.2,1755,1620,1767,1710,1739,1764,1719.2,1627.2,1752,1026,1636.285714,1496.4,1389,2475,1460,1575.666667,1389.857143,1438.666667,1234.833333,1107,1046.4,972,966,847,806,874,748,1647,725.3333333,876,731.5,816,823.3333333,688,650,832,1125,656.25,673,602,630.5,594,527,660,874,473,407.25,372,430,431,356,221,415,336,355,187,291,330,320,272,400,247,216,200,320,119,196,345,300
N32,7980,7444.75,7475.2,6271.333333,6654.666667,6696,5979.166667,5751.9,4554,4880,4590,4686,4002,4025,5253.5,4358.333333,4392.8,4164,3620,3687.428571,3836,3883.846154,3106.6,2955,2914,2824.142857,2673.2,3235.833333,2209,3480,2909.666667,2725.5,2562,2304,2588.631579,3000,1764,2459.142857,2115,2192.666667,2295,2314.190476,2321,2072.777778,2298,2106,2172.6,2184,2127.5,2021,1862.5,2001,2016,1806,1840,2021,2028.571429,2220,2108.333333,1702.8,2368.8,1890,1575,1529.333333,1808.8,1591,1575,1668.8,1958.4,1728,1134,1879.428571,1508,1482,2376,1700,1624,1389.857143,1404,1250.333333,1116,1243.2,984,973.6666667,1584,962,944,814,1836,1344,864,1078,1296,910,776,700,906.6666667,1080,697.5,692,672,494,726,872.6666667,684,798,542,553.5,616,450,454,464,585,375,339,384,495,228,342,340,297,384,273,220,132,260,315,197,483,288
N33,7560,8002.5,7398.4,6562.666667,6572,6463.5,6183.333333,5758.5,4422,4720,4819.5,4620,3886,3925,5490.5,4383.333333,4392.8,4080,3920,3564,3839,3883.846154,2910.6,2940,2942.2,2778.714286,2738.8,2924.166667,2632,3276,3001.5,2783,2478,2016,2569.105263,2760,2142,2491.714286,2349,2116,2329,2300.761905,2351,2195.777778,2310,2070,2305.2,2058,2164.5,2032.75,1925,2058.5,1869,1848,1824,2068,2137.142857,2040,2016.666667,1828.2,2180.8,1728,1260,1725.666667,1770.8,1628,1659,1696.8,1792.8,1668,1377,1971.428571,1581.466667,1496,1980,1640,1537,1429.285714,1421.333333,1229.666667,1170,1166.4,948,935.3333333,1155,780,942,847,1809,1002.666667,834,869,960,963.3333333,756,640,922.6666667,900,686.25,696,623,630.5,665.5,697,624,703,545,495,492,446,464,428,442,355,324,396,374,291,312,290,309,320,289,240,212,240,238,196,299,240
N34,7812,7275,7603.2,6670,6820,6649.5,6154.166667,5738.7,4257,4800,4704.75,4840,3741,4075,5293,4333.333333,4392.8,4092,3560,3733.714286,3842,4077.692308,3028.2,3045,2942.2,2809,2706,2942.5,2326.5,3384,2900,2610.5,2520,2196,2613.736842,2960,2268,2426.571429,2079,2330.666667,2142,2341.047619,2330,2091,2298,2142,2249.1,2282,2238.5,2044.5,1937.5,1995.25,2100,1512,1728,2044.5,2040,2200,1980,1597.2,2284.2,1809,1845,1519,1816.4,1332,1722,1674.4,1944,1716,1458,1846.571429,1509.933333,1511,2079,1760,1566,1389.857143,1369.333333,1245.166667,1152,1185.6,1032,912.3333333,1496,910,929,792,1485,1194.666667,858,984.5,1120,896.6666667,780,670,880,945,678.75,681,700,487.5,709.5,844.3333333,672,741,533,551.25,596,444,457,460,546,400,309,375,462,225,336,350,290,336,269,192,156,290,294,203,184,252
N36,6972,7299.25,8422.4,6838.666667,7274.666667,6789,6854.166667,5511,4026,4480,4488,4675,3538,4025,5372,3666.666667,4727.2,4080,3300,3996,3845,4236.923077,3479,3135,3233.6,3028.571429,2222.2,2759.166667,2115,3468,3141.666667,2679.5,2352,2628,2348.736842,2600,1386,2369.571429,2169,2361.333333,2516,2110.52381,2309,1999.888889,2160,2313,2126.7,2240,1831.5,2502.75,1837.5,1891.75,2142,1638,1680,1950.5,2251.428571,2446.666667,2053.333333,1544.4,2021,1890,2070,1436.333333,1877.2,1443,1806,1713.6,2095.2,1752,891,2188.285714,1326.266667,1561,2178,2020,1430.666667,1192.714286,1308.666667,1343.333333,1071,1320,1236,1035,1760,1040,937,704,1863,1386.666667,876,1100,1088,1090,872,700,1040,990,630,717,714,474.5,863.5,918,612,684,631,564.75,648,458,468,532,806,340,327,424,682,219,306,590,349,352,327,228,136,190,434,209,184,264
N37,7980,7347.75,8064,6854,7316,6417,6125,5586.9,4587,4800,4564.5,4708,4031,4050,5332.5,4200,4681.6,4284,3400,3733.714286,3947,4271.538462,3194.8,3315,3214.8,2907.428571,2722.4,3345.833333,2350,3168,3107.833333,2737,2520,2556,2510.526316,2840,2394,2345.142857,2322,2453.333333,2176,2233.619048,2388,2159.333333,2070,2142,2121.6,2282,2201.5,2256,1862.5,1822.75,2184,1848,1728,1974,2085.714286,2360,1778.333333,1603.8,2265.4,1971,2160,1529.333333,1884.8,1628,1764,1719.2,2044.8,1656,1539,2102.857143,1411.333333,1545,2277,1840,1469.333333,1396.428571,1369.333333,1167.666667,1053,1315.2,1164,1042.666667,1595,832,996,616,1161,1408,828,1127.5,1040,1063.333333,852,730,901.3333333,1035,633.75,720,728,546,836,906.6666667,636,779,595,569.25,640,430,503,556,871,310,351,418,737,252,318,560,342,368,319,188,160,170,469,221,230,276
N38,7728,7396.25,7091.2,6562.666667,6076,6603,6270.833333,5567.1,4521,4720,4717.5,4631,3973,4200,5411.5,4266.666667,4468.8,4176,3580,3733.714286,3847,3946.153846,3243.8,2985,2923.4,2725.714286,2632.2,2823.333333,2350,2892,2967.666667,2512.75,2478,2448,2524.473684,3160,2100,2434.714286,2214,2223.333333,2142,2264.952381,2378,1936.111111,2256,2142,2259.3,2016,2294,2056.25,1900,1886,1764,1890,1904,1974,2080,2053.333333,2016.666667,1755.6,2246.6,1701,1620,1653.333333,1694.8,1665,1785,1708,1807.2,1704,1350,2004.285714,1500.266667,1507,2673,1760,1575.666667,1386.571429,1360.666667,1234.833333,1161,1164,1032,927.6666667,1188,988,943,803,1809,1024,852,874.5,992,993.3333333,712,630,928,1215,663.75,711,588,559,665.5,697,660,969,555,490.5,492,446,488,424,442,420,324,406,374,258,330,390,325,432,298,188,164,310,238,199,437,324
N39,7728,7978.25,7065.6,6256,5993.333333,6370.5,6066.666667,5610,4323,4640,4781.25,4653,3799,4150,5253.5,4266.666667,4256,4044,3520,3864.857143,3817,3696.923077,3322.2,2940,2801.2,2566.714286,2624,2905.833333,2561.5,3336,2938.666667,2714,2436,2520,2485.421053,2840,1764,2451,2286,2192.666667,2006,2240.333333,2321,2118.333333,2232,2223,2136.9,1974,2220,1950.5,1887.5,1845.75,1806,1638,1792,1950.5,2165.714286,1973.333333,1998.333333,1749,2086.8,1755,1575,1684.333333,1596,1443,1701,1668.8,1785.6,1644,1134,2017.428571,1527.333333,1459,2376,1660,1546.666667,1363.571429,1300,1250.333333,1143,1132.8,984,912.3333333,1188,1066,922,891,1944,949.3333333,822,847,944,986.6666667,696,650,938.6666667,1080,686.25,702,602,585,632.5,685.6666667,624,817,528,486,484,450,483,404,390,345,312,404,330,270,312,330,320,384,296,244,204,290,210,196,322,288
N42,7896,7541.75,6681.6,6562.666667,5497.333333,6649.5,6620.833333,5652.9,4389,4400,4794,4620,3857,4050,5056,4141.666667,4210.4,3912,3280,3718.285714,3863,3793.846154,3194.8,2835,3017.4,2536.428571,2583,2997.5,2444,3060,2740.5,2616.25,2310,2340,2502.157895,3000,2268,2499.857143,2295,2376.666667,2176,2251.52381,2354,2113.777778,2166,2142,2157.3,2100,2238.5,1974,2000,1886,1932,1638,1808,1927,2062.857143,1873.333333,1888.333333,1683,2265.4,1809,1845,1674,1504.8,1443,1764,1668.8,1936.8,1716,1458,1905.714286,1537,1464,2475,1700,1479,1366.857143,1291.333333,1198.666667,1161,1113.6,996,943,1155,910,911,638,1944,885.3333333,858,825,1104,943.3333333,644,670,890.6666667,1125,720,691,644,572,572,640.3333333,636,893,531,447.75,452,458,477,332,182,445,318,383,154,264,318,340,308,400,283,188,196,370,98,189,368,300
N43,7140,7954,7065.6,6240.666667,5869.333333,6370.5,6387.5,5613.3,4158,4560,4870.5,4609,3654,4050,5214,4225,4225.6,3840,3280,3733.714286,3874,3960,3175.2,2775,2895.2,2634.857143,2681.4,3034.166667,2608.5,3132,2885.5,2702.5,2394,2376,2491,2920,2436,2426.571429,2376,2484,2108,2229.142857,2352,2159.333333,2244,2187,2172.6,2044,2220,2044.5,1887.5,1794,1890,1722,1840,1856.5,2137.142857,2100,1888.333333,1729.2,2293.6,1809,2475,1746.333333,1626.4,1517,1806,1674.4,1864.8,1644,1566,1997.714286,1517.666667,1464,2574,1580,1459.666667,1380,1248,1219.333333,1143,1166.4,984,943,1342,832,936,682,1944,1120,822,946,1088,990,708,670,917.3333333,1170,735,691,630,617.5,682,753.6666667,600,931,548,506.25,532,452,494,424,481,375,324,398,407,285,300,340,323,416,297,236,216,330,259,185,391,312
N44,7308,7590.25,7756.8,6133.333333,6737.333333,7021.5,6037.5,5639.7,4422,4480,4704.75,4598,3886,4025,4937.5,4183.333333,4544.8,3972,3440,3795.428571,3869,4008.461538,3312.4,2820,3130.2,2846.857143,2640.4,2942.5,2279.5,3252,2919.333333,2760,2352,2340,2566.315789,2720,2268,2459.142857,2277,2315.333333,2363,2303,2389,2163.888889,2256,2277,2198.1,1918,2312.5,2150.25,1762.5,1874.5,1722,1974,1936,1927,2091.428571,2166.666667,1906.666667,1630.2,2303,1782,2295,1674,1763.2,1739,1785,1736,1857.6,1812,1458,2096.285714,1515.733333,1465,2079,1380,1469.333333,1409.571429,1395.333333,1291.666667,1098,1190.4,1008,989,1463,858,954,682,1917,1216,906,990,1152,1026.666667,804,660,917.3333333,945,701.25,714,574,572,770,776.3333333,636,684,585,513,548,452,506,448,546,400,339,407,462,264,318,310,329,336,308,228,164,320,294,188,115,252
N55,8064,7905.5,7756.8,6424.666667,6489.333333,7486.5,6970.833333,5629.8,4884,4960,4717.5,4455,4292,4000,5885.5,4400,5046.4,4488,3880,3756.857143,3862,3911.538462,3224.2,3225,3102,2778.714286,2706,2951.666667,2491,3540,2953.166667,2857.75,2604,2412,2624.894737,3000,2226,2581.285714,2187,2300,2312,2341.047619,2387,2273.222222,2208,2151,2264.4,2044,2331,2162,1925,2001,1806,2184,1408,1974,2051.428571,2233.333333,2145,1821.6,2387.6,1917,1800,1364,1770.8,1924,1659,1775.2,2030.4,1932,1431,1938.571429,1517.666667,1483,2277,1820,1633.666667,1449,1473.333333,1271,1161,1243.2,588,1065.666667,1353,858,959,902,1134,1205.333333,966,1012,1216,946.6666667,808,710,858.6666667,1035,585,725,602,624,775.5,742.3333333,684,779,550,533.25,524,442,473,428,481,385,369,396,407,288,342,360,307,368,284,260,176,260,259,215,506,276
N58,7560,8123.75,6630.4,6424.666667,5497.333333,6742.5,6533.333333,5471.4,4422,4880,4959.75,4609,3886,3550,5095.5,4233.333333,4408,4008,3320,3679.714286,3791,3593.076923,2881.2,2865,2763.6,2498.571429,2599.4,2603.333333,3055,3312,2672.833333,3007.25,2562,2160,2426.842105,2920,2016,2353.285714,2511,2560.666667,2040,2188.857143,2295,2341.555556,2232,2151,2091,1988,2275.5,1974,1887.5,1765.25,1743,1848,1888,2021,2062.857143,1846.666667,1906.666667,1834.8,1936.4,1782,2430,1932.333333,1520,1628,1764,1696.8,1620,1740,1296,1859.714286,1515.733333,1427,2772,1540,1546.666667,1373.428571,1369.333333,1178,1098,1053.6,984,889.3333333,770,650,889,638,1431,704,870,726,768,913.3333333,660,660,821.3333333,1260,716.25,684,581,734.5,588.5,521.3333333,672,855,491,416.25,368,418,465,352,234,365,330,378,198,339,336,360,302,448,274,256,276,270,126,191,506,336
