Name,C02502,C00116,C00137,C01697,C01697,C01697,C00192,C00189,C00315,C01026,C00041,C00141,C05984,C00213,C02356,C00233,C00183,C00086,C00123,C00407,C00148,C00037,C00065,C00188,C00099,C00263,C05145,C00872,C00073,C00049,C01879,C00791,C01087,C00062,C00025,C00079,C01042,C00152,C00956,C00064,C00077,C00327,C00047,C00135,C00082,C00078,C00491,C16884,C00503,C01620,C00259,C00181,C02674,C00121,C00532,C00474,C00507,C00795,C08356,C00198,C01487,C00159,C00984,C00031,C00392,C00794,C00880,C00243,C00208,C00252,C01620,C00252,C01601,C06424,C08362,C00249,C01595,C00712,C00712,C01530,C06429,C08281,C08320,C00093,C00346,C00187,C01551,C00242,C01762,C00022,C00186,C00160,C00209,C00383,C00180,C01384,C00042,C00258,C00122,C00408,C00489,C00711,C01013,C00026,C00311,C00158,C00366,C08363,C03758,C00009,C02477
G55,69774,45385,36939,37376,51000,27642,9132,46786,8536,29639,270692,1995,66337,4076,19848,2298,292028,1607,103338,38397,142701,217057,63563,141729,1607,270,375,10094,22243,2995,1312260,52844,9210,22557,14813,65044,4449,25207,202,471934,81737,7006,123001,41843,67586,87700,15864,64394,81145,7454,6311,6261,634,3057,5527,4636,5332,8160,11498,26616,353088,122323,254241,154231,109691,566127,3226,3565,10646,14876,23851,137237,724,934,4888,43049,2940,1102,4933,15547,143,946,1033,4964,8720,19172,45,1367,627,126696,737758,33645,69245,244,794,9173,15481,23766,9274,3213,1572,7634,5267,3516,34241,245487,2476,18334,1234,74534,22523
G56,70436,75847,213922,8047,567,2410,11465,42275,8569,37604,437353,2158,143981,2834,82713,2509,610341,6824,294362,6960,414396,267158,131034,238669,1968,274,1163,18269,24787,37812,497962,41186,1129,30937,179116,81780,5954,13842,529,14328,159838,5298,228484,51882,142212,226600,8631,2188,13035,16053,4963,4115,994,2796,8600,3847,6692,10530,31673,153170,223228,203969,629786,76780,2699,15215,6254,3751,9084,7660,44855,194348,562,11488,29211,798734,81124,5560,1642,303734,1014,1281,738,105576,12921,17246,535,3034,822,73184,334619,105739,138122,699,5450,9227,5568,23452,47987,17121,3594,13788,1978,24877,19259,295199,91545,246284,648,179146,13092
G57,66935,61063,360251,10095,1359,1596,8493,123828,2146,29270,234586,2105,181696,13754,77189,2768,414714,2368,264628,4983,362358,246670,112069,253319,1455,410,1210,8254,29901,11611,1089532,39032,1653,25009,35879,91392,5482,32844,689,448907,78800,5597,215909,79835,123107,195516,18734,3358,16568,6524,7798,9905,697,3686,25594,30876,7537,12275,11457,138082,347995,240936,298284,210909,201089,131460,4745,4557,11186,10048,16132,264891,691,5271,4362,395786,48177,2594,138183,127779,399,903,839,2005,9188,24782,198,3037,804,39582,1118971,60173,56961,519,2944,9707,3055,15524,7636,23018,3393,8218,13101,27455,369973,365625,7599,255255,2367,247618,22951
G58,65525,67636,400466,8847,1071,1373,6439,95245,6421,30374,319065,2334,94322,4562,27321,1978,400706,876,220246,7919,371814,310314,89516,142178,1327,364,896,20520,22170,12672,394098,47719,2709,24993,92236,86031,5174,26958,865,487828,117405,4811,157588,85301,123559,253262,20465,3748,17775,10206,9233,12737,765,4235,32227,78241,10626,15076,4927,133248,283671,104688,338452,110340,151144,200564,4559,8119,15086,12685,17609,330737,701,8964,1799,496569,64032,6025,6270,197544,352,912,290,5512,8355,26866,172,2741,439,62951,1471550,57017,76202,548,3162,8850,2755,19013,7977,8525,2383,10621,31614,45048,40186,333844,15850,291872,1900,382214,20999
N2,72365,52965,76005,42054,33202,24477,10552,54792,8866,37634,422436,1125,116174,16704,32781,4449,397328,1403,170006,18319,180906,237323,76290,142595,3186,752,818,17880,27792,7770,806455,37414,4710,27201,38811,56630,3891,31849,161,543525,94929,3236,240863,89871,146588,189002,31653,51550,65731,6183,4328,4293,561,3812,29623,27799,8194,8006,37971,72412,253603,305006,243096,156759,80955,58486,4271,1502,5842,10952,32128,92211,723,8396,13270,389040,48554,3591,258,146058,416,656,3089,4367,14942,21961,189,2488,414,51637,945680,34741,138645,270,3696,8477,5179,36395,8020,10207,720,4127,7133,4393,379431,437808,37989,226994,2627,302411,15156
N3,51414,48208,49994,37916,37801,32522,13549,65110,8983,22289,368548,3374,113624,2305,38923,4539,453710,2983,264092,14191,228646,238616,82401,143562,1680,154,310,19532,29130,9873,2282687,28935,5205,22874,30648,76700,2348,54682,355,475407,114504,5164,178430,70785,131221,257770,31546,33778,6675,6387,4983,4943,748,3298,24220,24567,10141,8539,10969,36888,297955,266235,155988,115632,38837,124883,4354,4427,8364,11799,30473,98351,1101,4516,5400,191924,22629,1080,3258,95623,434,872,2135,4289,19573,20626,922,2618,553,104986,695197,47695,152189,227,4341,4107,2027,11777,6494,7242,4464,3192,6755,3075,265778,298337,40481,116622,2315,219035,13452
N4,62586,42069,150572,44610,48279,23280,8144,61769,26004,33220,349893,2923,91684,2877,25231,5613,459266,2517,242930,2952,407583,325466,136244,226461,1531,272,105,31987,22923,7216,670437,47448,7658,24360,24703,77527,2727,31623,626,508638,111406,5624,230847,55139,91072,181716,20371,94871,93940,8410,5527,5483,741,3829,18087,15161,11167,8762,91380,146968,83277,147237,76123,22305,141042,83025,4455,3818,6200,16142,37311,121727,547,4762,280,165639,19921,1013,4333,123736,473,1045,3299,741,9188,23990,71,1951,655,64209,1149957,84286,115235,263,4113,9989,1981,34636,8870,21209,588,5069,7833,6904,391713,428068,17894,127467,1145,260103,10721
N5,73124,29701,39668,23528,27803,15143,9032,68932,4445,30520,272837,2042,85404,5903,21783,3079,354184,1008,175116,12252,212230,208993,73247,143049,941,215,1037,17506,20321,9324,1548780,44799,3537,13067,9088,55595,2092,30175,253,455858,88342,4116,209335,80409,118827,179977,17185,33752,45908,7355,3492,3464,433,2808,7628,7985,7392,8434,7619,106968,205147,449478,78873,85926,140139,154664,4753,4755,5069,8096,36610,65056,389,4607,7889,302680,48761,1797,10341,120264,220,900,1374,3667,8173,17425,87,1942,551,45332,493000,33527,104956,100,4821,8833,1024,11933,7555,3660,8180,3705,9359,2697,248035,264070,55543,233538,837,331451,16257
N6,72887,48522,88780,25067,35379,14249,9282,64511,31182,47292,453662,2617,91480,5017,48866,3864,478990,2230,238074,3021,275073,324865,165190,279746,2078,259,821,50740,36499,23896,189716,52267,5748,33452,13695,112357,1194,48838,430,556071,118556,6968,240766,90329,171513,263229,28289,67172,76516,13646,5848,5802,545,3661,10466,7006,13591,8325,18283,144911,56934,223674,50254,47849,234316,311962,5761,4846,5645,8330,63340,72334,676,4285,4820,270999,46503,5558,11093,102996,149,1111,2437,4799,16518,26467,459,3565,465,77129,1221721,42530,63414,702,3885,8389,2172,50403,10764,26765,1513,8057,2411,4518,369562,383570,63877,169586,3923,196993,9582
N7,52311,6487,17689,2687,3927,1359,6887,2299,2358,37357,68245,1505,2307,4918,2286,118,42202,1170,26275,174,37007,36253,11631,22496,254,378,1057,6484,2489,1133,879637,2671,632,1680,1007,8027,638,3572,279,47106,10153,824,31947,1643,11063,16671,895,12155,11964,1144,486,482,71,2607,6107,2607,942,1179,3431,17961,233357,477215,154764,347244,632192,456995,422,1100,750,1200,5711,10191,1128,422,1273,40917,3165,448,2000,15068,467,1386,1951,806,851,8834,515,1967,660,2384,166239,3131,9391,630,409,1115,530,6130,1560,897,21245,708,1049,500,21869,22142,3818,17076,262,123366,2606
N8,60079,43401,58193,13141,21390,9632,2908,29569,9535,29945,265313,1596,89376,13551,35512,2725,403676,1465,237792,4015,256442,251049,91445,130275,1262,258,781,22285,18705,11919,1101097,30482,3835,13407,6754,64105,4637,18911,221,303398,62142,3389,224068,57262,127648,161260,13744,45685,59403,6846,3487,3459,333,2728,4606,6842,4332,7772,22980,77902,520753,481704,20935,119406,173929,399119,3297,4139,4146,6335,54032,51090,693,3321,9000,256029,25109,839,28654,80291,286,492,1845,1510,5833,3216,181,2308,596,65226,1302683,29364,66422,446,2803,8690,2002,47060,8493,8927,7633,4187,10784,3442,229015,229063,86742,140198,1362,329249,12384
N11,65419,43712,54684,26146,39743,16809,6337,45819,12542,41735,305424,1779,43315,2125,23829,2520,384944,657,216583,14101,224876,370501,122803,223037,1118,329,790,57752,34024,11261,293008,55740,6712,27962,12759,101160,4217,35587,62,461798,122655,7877,211062,72051,136399,221793,29730,86240,94293,14512,5966,5919,705,3195,8987,8100,10932,8956,7789,107952,290970,626217,152175,720505,374185,155109,5768,1873,8239,12158,59129,96175,263,2857,2686,146657,14877,840,81997,68368,296,832,1012,4310,6873,18591,142,2584,626,73696,1293037,53147,105345,267,3380,10372,2493,39189,8227,9217,3143,4472,12484,3401,27687,235852,71787,123510,576,167910,15922
N12,71685,27744,94623,23313,33326,16727,8237,54024,13263,20042,196422,1025,37185,1913,13158,1436,219355,2847,109482,2750,128268,213912,59355,100089,1057,315,604,13302,34837,3970,161810,21814,3475,13311,5629,45215,2856,16086,110,321186,52244,2805,184036,46001,101728,117469,11496,41323,57874,5723,2524,2504,273,2377,7256,15316,5721,6028,8327,103189,530167,520207,237001,233346,562725,140063,4100,2604,6181,8779,28121,73224,356,1738,2186,121967,9368,750,4169,40571,359,398,2484,863,5286,17841,106,1336,605,36121,798672,26602,85348,279,3469,9174,1356,25469,6189,4964,11431,3175,6026,1805,188061,185851,33077,84496,932,122288,11048
N16,75559,68760,178698,25373,38376,18830,7211,32149,18263,36626,442816,2323,99199,75730,35908,3898,413538,6920,216123,9191,233600,259481,97602,191189,1402,348,2661,28100,34079,2708,1110022,45235,7315,34108,12102,88167,4835,35167,475,544359,137759,2137,192150,89928,148750,226593,31144,46637,58027,10488,5403,5360,484,3241,51629,39425,10671,10745,20355,113900,296423,49521,321345,34861,166928,127001,3618,5824,7833,9731,44553,100789,844,4018,1986,209740,37890,1849,49169,118633,186,690,901,5686,10323,24619,182,2958,117,54508,818121,52197,121196,212,3800,7957,2380,37648,10484,7797,1300,9864,756,2329,31539,339995,3130,185391,3274,202933,21156
N17,70430,33818,166475,25027,32016,17448,8401,49953,7874,39606,283177,1272,37704,10191,21046,2462,368060,2178,192371,1698,226542,218530,95257,194190,922,280,1873,17828,29332,2459,1404703,45121,5160,26930,9284,72699,4254,27270,268,513229,100717,468,209353,63497,139677,159969,22810,48153,51033,9787,4763,4725,515,3088,6224,11312,5990,10342,14603,136773,251523,216744,129285,52064,266801,133933,3663,11197,6751,8781,29357,84544,377,2955,504,202556,26805,2432,2814,97510,213,809,721,2931,7891,19757,133,1492,882,45754,644109,38836,108940,577,3782,8379,1681,33825,9626,16677,1097,5778,9039,1267,43431,219411,36401,144902,2472,120610,11505
N19,69556,71265,65680,21442,27087,14040,4239,32446,19570,24650,317354,1865,57299,3433,20221,2500,316610,1363,162847,110222,197833,269367,75350,164485,937,243,899,35181,31459,22293,460975,37268,4839,21526,10142,69231,2553,30780,296,435603,82218,2772,233822,72788,122446,156374,17990,52407,71239,9894,4522,4486,354,2819,42933,14075,6463,9280,8687,93316,239497,606714,506578,511118,227604,148557,3536,3179,4977,8530,28216,69260,607,4747,14112,314888,41744,2758,10137,77405,697,503,1539,2405,4319,17377,268,1800,588,70410,1203409,29450,37463,339,3892,10133,2034,18532,8430,2959,4583,8131,5976,3109,20037,302350,33887,251586,1931,606981,12241
N21,74877,62892,58383,33690,44163,24024,8094,48756,19865,43932,324719,2170,105144,2249,33361,2351,366378,540,189554,20633,184950,325300,117200,134311,1037,212,1592,49376,27601,11959,246887,38866,5172,25349,13357,79426,3728,36032,311,518725,95343,3533,230140,77643,116393,222519,24644,49220,62101,7744,4648,4611,604,3103,51748,2710,5990,9634,5741,108819,348136,553302,76999,68351,235092,170935,5054,6066,8432,11221,30245,90992,227,5961,11343,294300,44582,2366,3219,110577,648,673,1478,3825,8659,17273,376,2219,689,81869,1212501,36680,91997,265,5250,9393,1753,29221,8035,5601,3841,4136,1895,3343,12965,293642,19073,312859,1877,340123,15302
N23,71742,55859,237509,29879,32380,20200,6525,38967,34346,37867,281013,2012,52416,6345,40091,3061,398047,4960,211329,45881,211886,374897,128464,217572,1779,340,1133,63148,33747,6199,1024451,71975,5410,33046,12064,101252,2069,36752,430,481264,131406,4351,221118,69577,150698,250281,31713,50247,58592,9721,4350,4315,467,3524,7859,13165,8738,12109,12420,135869,307519,854433,127818,141607,512716,167030,3693,6488,7698,10364,27339,87373,440,4030,10288,239730,35985,3102,4927,100069,809,979,1443,3782,10211,26656,274,3145,578,52244,912568,35467,92197,374,4640,10145,2083,26841,8615,3945,2170,6330,6478,3649,326298,322463,44791,285451,2022,670050,21555
N24,65825,52217,120165,36499,43864,27400,7299,50868,20165,32874,326941,3400,94284,3344,31193,3147,459719,2703,238748,53323,335345,311950,133389,259591,1266,365,897,30041,36841,6222,648983,52635,7375,37587,16930,113905,5006,33713,340,503636,131907,4683,229887,82341,125928,242820,31169,80453,73577,10142,6007,5959,972,3680,11345,13185,4262,9616,50421,152219,396606,525093,314968,217294,43596,332652,3431,8200,9802,10348,38653,111123,460,5051,3882,224570,27530,2659,2203,112477,421,651,1366,3850,7608,27035,204,3226,626,115283,1193210,63337,94188,304,4395,10898,2082,38897,8038,9107,4344,11169,631,4522,364015,359737,44852,235094,1429,417494,24126
N25,59387,70150,160539,34404,44230,26971,7219,33249,20530,28715,381778,2510,78603,2217,26871,3076,461281,2669,249459,46212,270833,291743,95571,226580,931,283,807,21028,38059,10036,63890,58748,6376,31686,17852,98751,3219,35930,448,556156,134405,4401,282087,92621,166872,282407,25078,49939,65624,5392,5287,5244,516,3535,8511,1704,6505,13560,11114,130232,271225,670291,251552,52552,278181,425661,3405,1239,9757,12630,31583,113529,410,6079,8540,236208,29289,2102,5519,93275,1236,317,941,3367,7169,26902,271,3482,699,122863,1069915,39184,77351,346,6983,9298,2062,30276,7975,9922,7848,7294,7690,4466,285205,281854,22720,207810,1855,309262,16043
N30,66836,69883,55661,32798,44460,23971,7132,47490,19820,26269,265543,2579,97614,2236,29782,4495,411497,1301,195765,3152,282042,262317,94655,155966,865,353,1532,25225,28434,15523,598465,41042,7797,36265,17999,90186,4450,27540,36,449930,128481,8536,152454,66860,145507,254358,30145,48506,69803,10359,4976,4937,538,3365,10816,16155,6132,9724,10882,136727,295179,143288,197669,119912,361347,198199,3533,5098,8864,12229,18600,115498,768,7148,11438,331538,35058,4244,5366,134706,564,539,812,5384,8345,26863,419,3823,843,96561,894882,39655,64194,342,5742,9252,1908,18119,8644,8702,2564,8250,2318,3804,58128,244125,16326,283549,3051,226907,23163
N32,64503,62880,75185,8213,1654,1648,8615,43051,6066,37472,433266,2309,130360,5738,32102,3414,422544,4459,201422,11464,186335,274851,94362,140362,984,454,1870,28178,34853,8310,864373,47735,4958,30140,92615,114163,6485,42328,703,496987,111258,4621,258171,94984,162554,263624,23158,3156,20171,17543,13767,13658,1033,5521,39715,22016,9623,15153,3121,126215,301693,154943,110628,40912,156037,813939,3380,2968,14271,11198,33541,340018,850,6638,7709,291575,48868,2313,5173,115483,474,668,375,4319,8545,26771,555,2359,310,84723,724919,68505,85624,369,4431,8809,3206,35211,7001,6337,4511,11432,8268,50178,26449,345961,11427,282833,2246,422410,16959
N33,59744,56392,139801,7282,1936,1879,6698,36633,10033,32333,290603,2896,137252,20629,52976,4303,441969,3177,230752,32018,293711,334842,133674,240686,1671,776,1573,23570,43209,14252,522417,56457,3572,28355,48659,125835,6939,41470,765,513942,124369,5057,241762,76294,143322,260378,22536,3804,23515,11267,13312,13205,683,5547,39070,13853,6484,14778,21088,108049,467528,269761,280070,169899,101798,307632,4265,5259,14913,12408,42512,359822,882,5817,6006,232546,40188,3551,3072,93308,564,855,779,5498,9831,21172,284,3996,731,93932,420989,83607,71347,478,3362,10291,5103,51485,10022,5963,6050,16670,10176,17302,277097,273840,32196,205155,2069,311639,20218
N34,74104,57035,133881,6806,1590,1499,8284,59562,4072,35371,344201,1910,96972,17059,38663,3507,420518,4680,238338,8599,285173,334200,115830,196132,1281,553,3363,29326,30563,13705,699543,52619,4295,30920,72726,95457,1175,35196,502,534227,119964,4948,259872,74298,148648,232337,25513,4673,18602,12685,7237,10991,594,3644,34668,6266,7463,13971,6293,80071,379759,99821,128043,56203,199851,424314,4655,598,13872,11801,25424,349959,781,4207,7672,235694,51729,1623,1876,125727,309,1729,793,3305,8040,23583,325,1875,779,51879,432997,55429,118332,457,3486,8722,4094,29648,9204,2234,5139,6763,8335,41040,26906,271953,26788,229973,1409,138825,14527
N36,84091,74313,46743,5105,1644,985,11075,91403,24047,36496,427600,3602,118801,12288,34725,3115,288925,8177,14392,14875,108225,276784,79332,151167,1155,344,568,23123,25968,31271,209021,45443,2147,23412,277747,79057,5105,42423,7622,473272,115389,5457,233030,83269,136682,218232,20761,3555,21799,8676,10859,8320,575,3771,20214,10486,11043,11797,29865,84080,238590,231340,768025,69238,150291,594292,3667,6713,11053,10232,30461,278468,401,9027,13951,625100,77953,7621,31628,334127,260,938,445,2784,9775,26490,336,3120,1443,77802,320635,97659,172244,532,863,12497,3049,27544,73850,73576,2501,6900,7873,36072,307579,368369,72873,261854,4664,417953,18682
N37,78185,34515,211495,5599,1352,1791,3918,129462,2969,34584,529237,2992,66595,14549,36927,5443,441298,7208,239182,5618,323391,232131,88590,131891,1269,256,2050,31077,24958,22648,443982,65716,1935,21354,353324,83372,5229,34174,9608,473101,105688,4987,228857,80982,161735,231729,17770,4074,16750,5734,10184,8111,217,2455,590399,10042,4735,21007,44998,125616,165400,126758,154148,86850,161320,433454,5339,16413,8597,7550,30810,212500,445,6646,12064,457857,55678,1524,12962,184068,280,736,751,2719,8866,26508,319,2569,1283,103325,300509,95551,133015,527,3999,4028,3340,29501,58352,25714,2700,5518,1126,24981,266951,310395,71524,188210,1448,99897,21611
N38,64291,62876,104399,7439,1825,1698,10404,47022,3593,34337,288879,2243,73158,14745,22205,3712,451282,771,265750,2126,373009,229453,99119,179184,1350,524,2216,16470,28604,10551,958729,30260,2207,29223,34137,104351,6789,29440,450,451553,113175,4292,261141,74152,159735,256415,14809,5710,22688,14040,11478,11387,581,5090,5735,14107,9495,12868,5612,111961,375172,91806,109758,66583,235280,29032,4002,3212,13625,12142,18262,344209,246,7561,11617,360999,55365,2460,2468,121293,209,337,292,3444,7628,23225,113,2994,1044,81267,1185179,68185,90401,584,2741,7746,3646,28932,9720,11453,5101,6154,4583,13842,340161,336163,48189,285699,1929,360099,18348
N39,56732,106868,103133,6854,1901,1760,6007,53342,6793,37329,414181,2423,61063,6093,19926,4850,480659,1681,353234,2559,475344,279715,107839,209398,1742,611,2558,30655,40275,17202,994749,44212,2794,37607,37608,120013,7066,32955,500,579710,88800,6282,181983,103223,156570,251586,23512,5101,23244,15345,12273,12175,978,6077,35931,16626,11432,15511,19985,105089,363271,322899,114665,146706,212889,158272,4989,2948,13236,11160,45383,326633,197,9601,19903,540195,102896,3641,116881,178431,310,959,790,2753,8362,26052,149,2701,779,83795,664563,76436,105152,564,2828,7377,3810,38710,8807,11947,4529,14861,12328,21300,442218,437022,21470,298029,1604,652090,21143
N40,71383,52955,222861,7276,1992,1836,6547,67579,8713,33377,363511,1724,59996,57029,21581,3446,393862,2922,224766,2370,392640,213616,86097,137246,528,355,6078,15875,23716,10823,445573,36119,1652,23506,22276,70086,4844,24913,589,439332,80412,4503,215951,72065,145811,165887,19931,4188,16046,9691,7711,7650,804,4018,28478,31193,11807,18226,5028,95206,286817,210564,246295,55451,196327,249687,2882,5895,13247,11749,15474,326535,298,6921,11881,307789,46742,3623,5414,121853,508,784,534,7659,8531,25858,167,2685,1174,62186,1115807,52665,82334,605,3291,7373,2064,13533,5635,15275,1471,7392,4966,16696,337859,333888,43555,202976,2145,812297,16559
N42,60735,50593,208058,8414,2466,2264,9077,66994,3837,38349,393244,2089,64210,9089,37369,2441,596551,3296,372579,333,510326,244720,138728,300544,941,521,3506,21318,32567,16044,547484,33612,1878,51629,9225,107033,5609,47269,1086,542543,161406,6432,248752,100412,181436,209325,28823,4747,17613,7920,10719,10634,542,5816,29067,13803,9670,16618,6569,125363,302249,114616,977955,129399,112326,226399,3752,3740,12915,11172,20168,325162,436,7507,11846,360465,48713,3271,8026,147334,560,899,402,3288,11977,26321,184,4411,976,62572,1793771,70423,77772,332,3626,7042,1815,16370,6585,23367,3833,5725,5908,33125,263661,260563,32428,280878,2636,697913,20817
N43,55514,47555,267158,7962,744,816,8457,229403,7589,35159,367251,2192,123849,23865,33387,4188,562766,2522,389648,2840,521714,209632,139006,185327,1115,451,2827,18905,31981,17350,1267343,47175,2237,34319,52430,104744,6201,30494,1064,508052,98175,4379,248967,100274,173473,260784,19251,4749,20200,9348,10845,10971,675,5662,34050,18671,9628,15930,14816,106762,326493,274543,350803,218305,137089,141011,3785,4543,14085,12572,21205,335954,165,5941,11368,361389,34092,3265,4688,174262,388,1075,872,3672,6926,27410,100,3200,1891,85785,2825181,76590,70286,420,1638,13816,3043,20628,6887,20314,3816,7991,6347,29949,356804,352612,18513,280703,2069,1096375,20653
N44,67654,69554,175742,7686,2235,2187,7889,169816,7417,37450,469274,3114,113514,17347,30016,4310,515002,793,295520,3463,689215,262944,107634,228523,1128,401,2335,22586,31068,15095,710050,38463,2273,40696,88439,89997,4251,58610,1008,589185,127071,7093,211527,160825,174562,211681,20538,4031,19712,9405,10599,11168,723,5570,36636,3666,6207,15669,15762,80492,120359,212891,223836,83647,172835,279359,4381,6797,13882,12179,24476,318743,341,9018,10151,352885,47780,8354,5625,139880,400,942,541,3222,4977,19145,40,1782,1106,120407,2382233,52588,57699,441,1647,12804,2738,18402,7797,61394,4938,7428,8981,23727,477608,471996,11208,221671,5404,594532,13534
N49,70882,99068,291226,6979,908,604,7033,45134,9620,38043,263469,3190,97140,2868,60173,4278,536829,1260,226083,32605,301122,303497,69339,288015,2024,524,1090,31861,25482,19851,770817,44240,2314,20555,228739,90579,5282,30453,8085,459959,97301,6229,230006,54762,157082,266610,24833,5129,21682,12506,9932,9391,833,5437,34113,15800,8506,15902,11669,97614,251973,109557,288806,136554,122832,80827,4332,4348,16272,12468,16920,334267,612,5439,11620,460176,63756,1789,817,468303,285,4011,1279,4238,12499,26423,265,3108,1179,79304,666294,80562,100861,2250,8412,11247,28558,31331,27449,3555,15877,4776,12174,13932,175794,182803,46532,268826,5393,154373,22839
N55,68122,81599,128709,6251,1854,1573,8202,60138,6811,34219,496499,3769,184952,1802,57728,3491,509111,1606,289075,7640,403136,256089,112840,226484,1510,588,100,25054,32446,15249,2172212,46140,1660,27516,52793,114937,6159,37114,9557,472252,115621,5757,229150,84173,158393,259422,19692,3969,18950,14235,14587,11162,950,4780,6181,20400,9372,31068,6604,132189,94347,290934,55682,81393,151136,608925,4971,2543,14691,11859,29924,332576,789,6864,16726,345176,43637,3765,301,134001,264,787,972,3104,10607,21801,272,3186,478,124429,50989,77215,109453,343,5231,9768,10681,37909,8492,13392,4496,12985,7572,24466,19750,385780,45604,268351,10560,76326,18323
N58,62260,33688,104869,37684,44200,24416,8879,143837,4705,30298,333622,2091,59515,10073,23879,1029,552740,779,314411,3939,358303,196030,93621,195637,1319,258,1461,10911,31490,5206,788233,37704,4772,25363,14965,90016,5409,24951,358,483186,100655,3620,212029,88766,155423,235760,17074,75497,66569,7125,4660,5125,670,3009,8168,20963,9066,11080,8142,109587,366164,259510,712842,475846,118868,116384,3737,5391,8565,12023,17518,108367,203,3341,3956,218045,24471,1252,2886,104477,456,1502,1113,5349,7717,26112,150,2588,872,90887,994595,51718,77354,312,1431,10584,1764,16088,6108,11721,682,5481,6639,4681,243881,241015,27655,154148,1357,133457,13396
N59,52887,74279,168869,28634,36223,12762,6400,119229,27000,33690,398319,2053,117185,8097,46547,2253,498207,2237,289020,3160,438480,223642,151764,272059,1242,221,1436,20420,32392,10535,353137,39904,4912,40629,17936,94180,5642,35228,689,537398,134335,5369,217326,90387,168568,198240,25033,66741,59634,3015,2993,3444,691,3380,9178,28419,3446,8708,7363,110510,307637,289892,560550,289831,247301,31835,4182,6620,8304,11860,22175,71136,323,5169,16637,347601,42262,1885,3784,114595,298,1102,864,4890,5704,26451,36,2599,487,124710,828797,66244,62809,625,3716,9777,1779,10649,6532,15807,437,8869,9898,6418,350983,346858,32288,199602,865,508240,15358
N60,64588,56936,328320,23188,28089,16657,9745,131757,3275,24754,521561,2876,138331,45851,33176,4691,466133,2774,277117,3190,686353,253718,80903,160354,1193,133,2099,21622,27289,7627,1217768,52457,3732,22108,5975,73574,4547,25419,550,517856,96704,4073,243613,74122,110099,242513,25964,43352,47481,6191,4061,4785,598,2921,7318,34506,4943,10263,12830,94209,339748,90711,520865,31893,95762,166626,3336,6853,5906,8583,34763,74391,180,3799,2566,252695,24411,1522,2149,120844,428,766,810,3836,7550,14473,102,3300,489,59726,195739,40196,81778,393,3346,11162,1285,18933,7438,20416,627,4184,17660,3631,289785,286380,39907,121105,1923,68230,24741
N61,66822,48144,125617,39798,44256,26908,9314,120988,15806,11394,359804,1519,58845,12656,21420,2085,431383,547,233505,8378,339293,295874,116317,266255,1587,238,1073,16631,31841,1566,927947,42209,4560,27388,9571,81420,4344,39165,483,596530,94070,591,246155,106949,144052,159082,20281,64753,49037,5376,5145,6369,572,3051,9024,20732,9884,8416,8670,109875,208258,283738,69502,71377,335973,143778,4107,5459,8882,12234,16649,105961,365,6142,13386,303754,35441,2840,4242,117116,298,672,1558,3244,13411,24613,67,2784,688,79432,1244632,37731,79267,312,623,10582,1744,12368,7525,8120,1651,6698,10630,5271,20966,293241,24289,211030,2185,410374,12316
N62,66141,69168,134267,33816,34077,25687,11562,78987,7384,53309,382622,2614,123313,40727,42661,3307,454459,1810,226730,15114,327395,246186,121218,228107,1447,321,641,9399,28759,10425,1124143,37243,3998,29447,14738,87419,4249,32767,517,545902,111554,4407,209941,104843,185225,227635,31651,48264,50396,7822,5569,7265,742,3311,7694,45274,8564,6964,4706,133801,332314,116523,132166,138452,399981,242936,2707,2417,6513,9455,22593,80394,199,4107,6919,260788,32256,3256,3023,97676,243,1174,973,6032,10718,25130,222,2427,190,114531,763009,41428,67772,429,3377,9079,1776,21554,7765,9119,630,11107,20482,5416,370702,366345,51873,196475,4499,320583,17456
N63,57693,55200,377810,8359,814,1013,6827,63376,7649,34047,334537,1646,59138,5671,34188,2136,325650,2208,143203,55072,203249,441580,105280,195905,1466,471,1128,43349,35222,11075,285721,45087,1999,30841,36342,87962,5783,39102,797,594832,87108,7596,192159,99912,118943,247215,27379,4078,21947,9115,8495,15024,607,4564,29765,63695,9797,12364,9507,113099,351663,428652,487991,349496,207342,124696,5624,7105,12080,10445,38171,297575,711,5804,5156,288434,28537,3430,87033,120001,357,867,827,3517,5861,26038,130,2797,550,55224,774463,70103,74739,466,3094,11101,3360,46475,7738,1891,3330,7965,38323,28472,323482,319681,2843,155622,3058,393491,16369
N64,67056,59193,404696,9055,648,4057,8370,58592,18234,35930,350706,2022,104901,4055,29954,3079,385048,1822,209464,7778,374351,208794,87263,139456,1217,241,1201,18645,21236,8563,124677,39008,1766,23402,9172,78526,4117,41839,836,481501,91147,5421,163425,86655,124332,256958,21690,2550,15119,5980,7756,10494,428,3397,20954,23728,8858,16005,8593,121564,160065,347796,448667,75452,307393,107948,4808,6941,8658,7995,31382,229510,247,6900,11618,436306,38847,6549,2349,146575,371,700,501,2856,10200,21863,153,3129,330,81719,1542118,47536,83797,486,3120,8801,2145,25234,8028,4445,1484,7194,42813,26993,25848,320178,25679,277335,4521,183206,14472
