Name,C02502,C00116,C00137,C01697,C01697,C01697,C00192,C00189,C00315,C01026,C00041,C00141,C05984,C00213,C02356,C00233,C00183,C00086,C00123,C00407,C00148,C00037,C00065,C00188,C00099,C00263,C05145,C00872,C00073,C00049,C01879,C00791,C01087,C00062,C00025,C00079,C01042,C00152,C00956,C00064,C00077,C00327,C00047,C00135,C00082,C00078,C00491,C16884,C00503,C01620,C00259,C00181,C02674,C00121,C00532,C00474,C00507,C00795,C08356,C00198,C01487,C00159,C00984,C00031,C00392,C00794,C00880,C00243,C00208,C00252,C01620,C00252,C01601,C06424,C08362,C00249,C01595,C00712,C00712,C01530,C06429,C08281,C08320,C00093,C00346,C00187,C01551,C00242,C01762,C00022,C00186,C00160,C00209,C00383,C00180,C01384,C00042,C00258,C00122,C00408,C00489,C00711,C01013,C00026,C00311,C00158,C00366,C08363,C03758,C00009,C02477
G14,71441,54379,58155,32186,44737,23182,9092,52994,3676,29027,323783,2085,78239,8748,23243,3273,355735,4017,192934,9544,218212,334997,100278,179436,912,313,1459,19089,31212,4485,419700,45579,7534,28201,13008,84897,4655,28345,281,505714,113320,3391,204937,71246,132998,209756,17416,46398,46521,10308,5290,5247,676,3207,56487,19309,7174,9820,3314,91117,448109,301656,259468,157401,294869,51874,3598,2301,9104,12046,32365,110582,1193,5373,6494,271239,43939,1662,2086,110546,372,767,707,5188,10703,26528,59,3242,617,121498,563589,48427,98763,302,4814,9130,2405,30632,9360,6698,938,8487,6010,3403,22056,352552,24140,226993,988,184535,16658
G16,69443,55965,144813,23266,38134,17790,7001,57081,8955,26245,414546,2721,88035,45056,24835,4102,444857,4708,201172,18680,338684,258156,84777,188338,1277,277,1473,16467,33049,9604,1211069,53914,8319,30988,16852,76452,4536,29047,312,546615,103966,3674,146587,72161,100007,207568,19775,36294,51943,11639,4723,4685,648,3158,52165,26336,5467,9287,7343,143720,414313,243060,32511,19722,305356,247711,3390,6467,8685,10858,33883,100738,1203,4148,4182,233510,21520,1086,2673,122909,65,442,635,5425,6341,19988,115,2027,716,177340,547022,45613,79494,530,5696,9784,1158,23684,7959,17840,2685,7255,7398,5845,318477,314734,13430,233109,1058,326617,11322
G17,60310,32956,59221,8478,1742,1638,9331,15506,10540,37674,347359,1806,82578,50892,32610,3453,388290,3882,214662,7992,315566,379853,130559,306735,2402,511,1594,19324,45703,15047,539556,57016,3185,39982,8553,128192,6019,52962,747,554539,136615,5824,194010,89145,138168,211996,21823,5457,26540,10211,15192,15071,999,5692,7950,9745,7205,13428,6041,151103,119517,65841,197055,119539,148673,499423,6393,5006,15409,12557,28133,359167,1277,5114,5543,260621,32755,2296,3663,97964,116,650,507,4879,9105,26195,257,2672,816,125807,457078,68811,63536,521,2918,6176,4455,22369,9123,5759,6199,13031,6821,18225,481956,476292,17197,251658,2181,276854,19944
G19,62497,42422,50978,9351,1582,3169,7051,34778,4214,19510,400864,1624,62369,2763,43684,2774,307037,2713,205050,5488,335489,258369,115559,247284,1029,352,1253,17089,23740,8371,1074134,33975,1418,26601,83844,68738,2062,33199,368,428525,106257,3920,233197,80194,87683,142078,10514,3318,12037,6500,6569,6517,373,2621,19051,4807,4990,12297,21100,122981,169124,173179,221266,134227,224736,226811,3585,4801,7775,6384,16003,199675,545,2397,3122,252232,23778,496,1857,71094,175,862,580,2902,6189,24136,105,2027,660,71811,1076603,44621,59615,309,2712,6491,921,13385,7098,12513,2511,7803,4242,12906,232649,229916,10525,158568,2301,270407,14186
G20,77734,47099,159128,8375,2037,1891,8267,72220,4451,34578,382486,1851,74856,8452,38113,2933,490427,5516,289270,4681,350802,294954,122932,227428,1049,463,3148,17002,28604,17426,880365,45590,1639,27482,74968,88961,4908,39719,672,547435,128514,5089,255575,76315,185526,232718,18278,2894,16363,9115,9274,9200,569,4052,35189,18895,13029,12443,18987,86832,150763,134158,107940,84515,216681,245786,3917,7402,11914,11315,7817,303376,655,3643,6191,217860,27390,1767,68225,85769,276,903,661,2561,8391,20977,79,2149,1201,75388,805643,50815,111217,674,3390,7331,2075,18606,8109,6771,3206,5931,4688,21552,83348,235797,36908,202518,1361,562343,18477
G21,67236,58733,197735,8297,2799,2586,8656,62354,1221,38556,299384,2333,141651,12359,42182,3744,410609,3341,235463,7416,423064,234977,98417,233894,1447,488,1518,7740,24871,13106,473514,33290,2289,28979,4905,85876,5069,43615,1099,484286,104236,4715,215395,72358,155324,197306,15149,5968,23146,22362,12919,12817,1049,5650,38690,22481,17129,15797,13134,148967,138237,403651,252128,196436,161157,115320,3572,11497,15980,13553,24187,323921,388,7378,11702,296409,38865,1491,5032,157273,603,544,211,2497,10036,16845,99,2887,994,72898,1200003,62873,93377,679,3383,8477,3064,19949,7963,18013,3599,5743,5721,29490,489766,484010,28443,263506,772,218359,26222
G22,80914,81996,109299,12001,5937,4332,8944,58443,2516,45815,375203,1720,142920,4516,67615,3022,400009,1834,109949,41777,130544,287956,88663,155436,1943,296,685,32506,37562,25037,589590,63254,1993,18041,52610,86873,4388,12591,47,43846,127654,6811,206330,89790,151733,207425,5998,1250,8086,7305,3855,4306,906,3157,1084,3927,9357,17523,18923,136761,334076,43756,286611,202790,7531,5160,3292,9009,8569,8277,61114,181622,989,7016,21699,747840,71518,2435,724,138963,271,705,1986,85435,8871,21287,177,3187,478,41674,1045780,61827,44683,392,4721,8279,4115,32959,9163,2475,1101,14507,33399,21109,442429,437230,35077,264324,2552,183988,17749
G23,64708,58755,208901,10614,5593,2223,8549,71572,17277,61860,479035,3342,204002,9843,39030,4737,472297,1984,304479,2816,537802,187799,114682,141077,858,340,1293,4549,27250,17601,618092,24075,1836,21205,46749,111516,4740,13694,1285,108860,170772,5286,248566,106003,198307,224406,6867,970,6461,13427,4527,4411,620,3057,1338,5559,8114,29271,28665,80914,318230,334887,464610,512428,18451,14604,5214,3672,9340,8379,20920,200605,582,20512,58264,220671,39722,6523,794,189887,626,924,865,78539,13502,23998,57,3757,528,97829,540592,47692,76457,802,6993,8221,5130,13388,8949,14479,4412,47798,8010,16807,470789,465257,79481,288428,7487,89211,15682
G24,73516,120474,143832,11605,7902,4795,3444,46674,6766,39872,365631,3022,155015,3056,48491,4505,460277,1971,269716,11489,223620,246358,107717,210219,1603,306,1309,16553,36413,26511,639814,24025,3778,30019,20218,79107,4258,15906,2104,431357,211756,7810,188239,67352,125767,224688,8980,621,7113,14360,4203,3707,850,3167,4383,2670,7260,23508,4748,157559,261628,140850,348802,429445,7298,16598,7409,4485,9090,9493,33364,161635,625,8853,8779,560463,109799,5659,842,150750,436,650,678,83966,4379,23528,104,3477,253,56753,595268,50191,123651,423,1614,9326,3688,14172,8399,11032,4973,11973,485,5586,434041,428940,65276,288562,9276,262235,15049
G25,68774,151710,109123,12827,12764,6557,9332,50956,5398,36171,524785,2609,107180,2617,26231,2848,427084,724,357007,4081,423739,407675,94124,163976,1514,283,3125,43228,33846,18105,726907,54346,16064,48606,12475,151861,3333,23544,2607,336742,228927,15405,274295,115717,213758,218332,9341,1033,5289,6411,4088,3281,1211,2851,986,3099,4382,79539,49603,127319,129056,45465,213208,115170,46637,56632,5195,2968,7980,8875,45357,127084,9221,16422,45836,481106,78636,3935,552,183044,532,378,1059,17858,7229,16857,361,3779,138,31172,695522,47355,71419,400,5799,8936,4973,12583,7827,10891,7696,5549,11974,3620,103594,102377,58236,297646,8814,292770,14248
